company,datetime,close_x
AGI,2018-07-28,0.0857699435848799
AGI,2018-07-29,0.0814976062982555
AGI,2018-07-30,0.0815419288569152
AGI,2018-07-31,0.0789005031877738
AGI,2018-08-01,0.0770751127140464
AGI,2018-08-02,0.0749937581757193
AGI,2018-08-03,0.0749407547172802
AGI,2018-08-04,0.0735257777906619
AGI,2018-08-05,0.0715533233726659
AGI,2018-08-06,0.0708559817373283
AGI,2018-08-07,0.0706592291802929
AGI,2018-08-08,0.0715914598677883
AGI,2018-08-09,0.0714504706218909
AGI,2018-08-10,0.0735312802061931
AGI,2018-08-11,0.071761523487948
AGI,2018-08-12,0.0709312784447568
AGI,2018-08-13,0.0710672930365901
AGI,2018-08-14,0.0711816219120883
AGI,2018-08-15,0.0708307202610904
AGI,2018-08-16,0.0718738189208512
AGI,2018-08-17,0.0712438123280322
AGI,2018-08-18,0.0699198394296327
AGI,2018-08-19,0.0717960474458791
AGI,2018-08-20,0.0714509618758228
AGI,2018-08-21,0.0719791083383036
AGI,2018-08-22,0.0715481336741236
AGI,2018-08-23,0.0715630242409663
AGI,2018-08-24,0.072038030553127
AGI,2018-08-25,0.0717273900582443
AGI,2018-08-26,0.0721937574622173
AGI,2018-11-19,0.0509489998722321
AGI,2018-11-20,0.0515784701806704
AGI,2018-11-21,0.0510193512671482
AGI,2018-11-22,0.0513270282417531
AGI,2018-11-23,0.0508416819368248
AGI,2018-11-24,0.0510530320767368
AGI,2018-11-25,0.0507794456009837
AGI,2018-11-26,0.0521260204759811
AGI,2018-11-27,0.0514131481344934
AGI,2018-11-28,0.0505307584691791
AGI,2018-11-29,0.0512293876648468
AGI,2018-11-30,0.0497005814140376
AGI,2018-12-01,0.0501944754408988
AGI,2018-12-02,0.050662840113538
AGI,2018-12-03,0.0511609154264368
AGI,2018-12-04,0.050781040269126
AGI,2018-12-05,0.0503714467780876
AGI,2018-12-06,0.0506599671800621
AGI,2018-12-07,0.050415015666637
AGI,2018-12-08,0.0520947586707122
AGI,2018-12-09,0.0504713418614754
AGI,2018-12-10,0.0506641272368204
AGI,2018-12-11,0.0499206495590911
AGI,2018-12-12,0.049950887984097
AGI,2018-12-13,0.0522568832012711
AGI,2018-12-14,0.0500120258634328
AGI,2018-12-15,0.0495821871646163
AGI,2018-12-16,0.0494256491135661
AGI,2019-03-09,0.0470471672867592
AGI,2019-03-10,0.0469759288880288
AGI,2019-03-11,0.0450844270120215
AGI,2019-03-12,0.0442880297368346
AGI,2019-03-13,0.0449385516676792
AGI,2019-03-14,0.0436974777058929
AGI,2019-03-15,0.0458886948792656
AGI,2019-03-16,0.0472826862933244
AGI,2019-03-17,0.0455405549717786
AGI,2019-03-18,0.0466251634749485
AGI,2019-03-19,0.0460734352181907
AGI,2019-03-20,0.0433917206192941
AGI,2019-03-21,0.0461725480422312
AGI,2019-03-22,0.0443189048976004
AGI,2019-03-23,0.0487423061051453
AGI,2019-03-24,0.0530069407575069
AGI,2019-03-25,0.0515464452434207
AGI,2019-03-26,0.0481839447851671
AGI,2019-03-27,0.048479211080977
AGI,2019-03-28,0.0484275018331809
AGI,2019-03-29,0.0497614496994827
AGI,2019-03-30,0.0503044445650543
AGI,2019-03-31,0.0513066524651161
AGI,2019-04-01,0.0493378520098798
AGI,2019-04-02,0.0475076105991144
AGI,2019-04-03,0.0467083762539919
AGI,2019-04-04,0.0480354297364007
AGI,2019-04-05,0.0477815030650559
AGI,2019-04-06,0.0466864150748428
AGI,2019-07-15,0.0263458229655326
AGI,2019-07-16,0.0274782995755643
AGI,2019-07-17,0.0265796144001407
AGI,2019-07-18,0.0255543024938332
AGI,2019-07-19,0.0252228000130609
AGI,2019-07-20,0.0237800479401165
AGI,2019-07-21,0.0248351582564317
AGI,2019-07-22,0.0256322149574933
AGI,2019-07-23,0.0238290742463541
AGI,2019-07-24,0.0248720536354956
AGI,2019-07-25,0.0243298478884787
AGI,2019-07-26,0.022527912263368
AGI,2019-07-27,0.0226445993411482
AGI,2019-07-28,0.0229504017108589
AGI,2019-07-29,0.0235387579993687
AGI,2019-07-30,0.021921227151847
AGI,2019-07-31,0.0235565642466645
AGI,2019-08-01,0.0246562887983824
AGI,2019-08-02,0.0235622835966282
AGI,2019-08-03,0.0226947859296751
AGI,2019-08-04,0.0239279629568914
AGI,2019-08-05,0.0222098107612491
AGI,2019-08-06,0.0219003222568804
AGI,2019-08-07,0.0223967228840246
AGI,2019-08-08,0.0218194311017763
AGI,2019-08-09,0.0215740569416942
AGI,2019-08-10,0.0222055645290917
AGI,2019-08-11,0.0220245340409225
AGI,2019-11-04,0.0206212809618226
AGI,2019-11-05,0.0214189841849531
AGI,2019-11-06,0.0215205653238499
AGI,2019-11-07,0.0214560088897992
AGI,2019-11-08,0.0208033964658801
AGI,2019-11-09,0.0218573583839958
AGI,2019-11-10,0.0209695243689317
AGI,2019-11-11,0.0214513457095055
AGI,2019-11-12,0.0208124913817027
AGI,2019-11-13,0.0201888259908643
AGI,2019-11-14,0.0206996543702874
AGI,2019-11-15,0.0191313601363583
AGI,2019-11-16,0.0213594577055366
AGI,2019-11-17,0.0206379219364206
AGI,2019-11-18,0.0194085602186964
AGI,2019-11-19,0.0210554206191266
AGI,2019-11-20,0.0212042864133425
AGI,2019-11-21,0.0204806556494176
AGI,2019-11-22,0.021586474824681
AGI,2019-11-23,0.022360836531776
AGI,2019-11-24,0.0235399545857242
AGI,2019-11-25,0.0227825220649842
AGI,2019-11-26,0.0211602890500705
AGI,2019-11-27,0.0220094743140607
AGI,2019-11-28,0.0208565494458243
AGI,2019-11-29,0.0217903048032404
AGI,2020-02-06,0.0210108332143072
AGI,2020-02-07,0.0215836207953883
AGI,2020-02-08,0.0201013849905425
AGI,2020-02-09,0.0213844065570087
AGI,2020-02-10,0.0205241798699464
AGI,2020-02-11,0.0213935751196923
AGI,2020-02-12,0.0219847915642085
AGI,2020-02-13,0.0220818507622651
AGI,2020-02-14,0.0214602457841103
AGI,2020-02-15,0.0207908938790987
AGI,2020-02-16,0.0221757906805396
AGI,2020-02-17,0.0223094074265013
AGI,2020-02-18,0.0229339337644383
AGI,2020-02-19,0.023018010791061
AGI,2020-02-20,0.0246975209311664
AGI,2020-02-21,0.0235640760291458
AGI,2020-02-22,0.0224949482590156
AGI,2020-02-23,0.0242341796343306
AGI,2020-02-24,0.0237405459422069
AGI,2020-02-25,0.0254678233689568
AGI,2020-02-26,0.0254161788159759
AGI,2020-02-27,0.0217234123146644
AGI,2020-02-28,0.023000022621895
AGI,2020-02-29,0.0236025979591899
AGI,2020-03-01,0.0257119135044926
AGI,2020-03-02,0.0246551601585047
AGI,2020-04-02,0.01077
AGI,2020-04-03,0.01077
AGI,2020-04-04,0.01077
AGI,2020-04-05,0.01078
AGI,2020-04-06,0.01078
AGI,2020-04-07,0.01273
AGI,2020-04-08,
AGI,2020-04-09,0.01273
AGI,2020-04-10,0.01621
AGI,2020-04-11,0.01621
AGI,2020-04-12,
AGI,2020-04-13,0.0108
AGI,2020-04-14,0.0108
AGI,2020-04-15,0.01611
AGI,2020-04-16,
AGI,2020-04-17,
AGI,2020-04-18,
AGI,2020-04-19,
AGI,2020-04-20,0.0122
AGI,2020-04-21,0.01261
AGI,2020-04-22,0.01115
AGI,2020-04-23,
AGI,2020-04-24,0.01195
AGI,2020-04-25,
AGI,2020-04-26,
AGI,2020-04-27,0.01195
AGI,2020-04-28,0.01527
